open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
229.52,229.65,223.74,226.21,63285048.0,229.65,223.74,226.21,229.52,63285048.0,1.0,0.0,AAPL,XNAS,2024-10-01T00:00:00+0000
230.155,233.0,229.655,233.0,52779736.0,233.0,229.65,233.0,230.04,54793391.0,1.0,0.0,AAPL,XNAS,2024-09-30T00:00:00+0000
228.46,229.52,227.3,227.79,33993600.0,229.52,227.3,227.79,228.46,34025967.0,1.0,0.0,AAPL,XNAS,2024-09-27T00:00:00+0000
227.3,228.5,225.41,227.52,36490267.0,228.5,225.41,227.52,227.3,36636707.0,1.0,0.0,AAPL,XNAS,2024-09-26T00:00:00+0000
224.93,227.29,224.03,226.37,40779133.0,227.29,224.02,226.37,224.93,42308715.0,1.0,0.0,AAPL,XNAS,2024-09-25T00:00:00+0000
228.645,229.35,225.74,227.37,41781114.0,229.35,225.73,227.37,228.645,43556068.0,1.0,0.0,AAPL,XNAS,2024-09-24T00:00:00+0000
227.34,229.45,225.81,226.47,48904893.0,229.45,225.81,226.47,227.34,54146023.0,1.0,0.0,AAPL,XNAS,2024-09-23T00:00:00+0000
229.97,233.09,227.62,228.2,318582200.0,233.09,227.62,228.2,229.97,318679888.0,1.0,0.0,AAPL,XNAS,2024-09-20T00:00:00+0000
224.99,229.82,224.63,228.87,66723100.0,229.82,224.63,228.87,224.99,66781315.0,1.0,0.0,AAPL,XNAS,2024-09-19T00:00:00+0000
217.55,222.71,217.54,220.69,59788400.0,222.71,217.54,220.69,217.55,59894928.0,1.0,0.0,AAPL,XNAS,2024-09-18T00:00:00+0000
215.75,216.9,214.5,216.79,45480900.0,216.9,214.5,216.79,215.75,45519339.0,1.0,0.0,AAPL,XNAS,2024-09-17T00:00:00+0000
216.74,217.2,213.92,216.32,59138791.0,217.22,213.92,216.32,216.54,59357427.0,1.0,0.0,AAPL,XNAS,2024-09-16T00:00:00+0000
