open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
167.685,169.16,164.58,166.99,28338123.0,169.16,164.58,166.99,167.685,28338123.0,1.0,0.0,GOOGL,XNAS,2024-10-01T00:00:00+0000
163.32,166.15,163.26,165.85,20481303.0,166.15,163.26,165.85,163.32,20481303.0,1.0,0.0,GOOGL,XNAS,2024-09-30T00:00:00+0000
162.81,165.7,162.6261,163.95,21101307.0,165.7,162.6261,163.95,162.81,21101307.0,1.0,0.0,GOOGL,XNAS,2024-09-27T00:00:00+0000
163.64,164.08,162.28,162.73,20319336.0,164.08,162.28,162.73,163.64,20319336.0,1.0,0.0,GOOGL,XNAS,2024-09-26T00:00:00+0000
161.47,162.81,161.3,161.49,18869199.0,162.81,161.3,161.49,161.47,18869199.0,1.0,0.0,GOOGL,XNAS,2024-09-25T00:00:00+0000
163.03,163.2158,160.69,162.29,23332147.0,163.2158,160.69,162.29,163.03,23332147.0,1.0,0.0,GOOGL,XNAS,2024-09-24T00:00:00+0000
164.35,165.49,161.67,161.85,24150852.0,165.49,161.67,161.85,164.35,24150852.0,1.0,0.0,GOOGL,XNAS,2024-09-23T00:00:00+0000
163.5,163.73,162.06,163.59,40896438.0,163.73,162.06,163.59,163.5,40896438.0,1.0,0.0,GOOGL,XNAS,2024-09-20T00:00:00+0000
163.71,163.79,161.34,162.14,26587733.0,163.79,161.34,162.14,163.71,26587733.0,1.0,0.0,GOOGL,XNAS,2024-09-19T00:00:00+0000
159.86,160.5,158.595,159.81,23677315.0,160.5,158.595,159.81,159.86,23677315.0,1.0,0.0,GOOGL,XNAS,2024-09-18T00:00:00+0000
159.02,160.55,158.375,159.32,20715612.0,160.55,158.375,159.32,159.02,20715612.0,1.0,0.0,GOOGL,XNAS,2024-09-17T00:00:00+0000
157.31,158.25,156.6,158.06,18379775.0,158.25,156.6,158.06,157.31,18379775.0,1.0,0.0,GOOGL,XNAS,2024-09-16T00:00:00+0000
