open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
168.86,170.44,165.9,168.42,18626785.0,170.44,165.9,168.42,168.86,18629506.0,1.0,0.0,GOOG,XNAS,2024-10-01T00:00:00+0000
164.78,167.36,164.64,167.19,14076448.0,167.36,164.64,167.19,164.78,14083451.0,1.0,0.0,GOOG,XNAS,2024-09-30T00:00:00+0000
163.91,166.97,163.83,165.29,13604260.0,166.97,163.83,165.29,163.91,13604261.0,1.0,0.0,GOOG,XNAS,2024-09-27T00:00:00+0000
165.03,165.5,163.5,163.83,18234497.0,165.5,163.5,163.83,165.03,18234497.0,1.0,0.0,GOOG,XNAS,2024-09-26T00:00:00+0000
162.97,164.217,162.775,162.99,13607892.0,164.217,162.775,162.99,162.97,13607892.0,1.0,0.0,GOOG,XNAS,2024-09-25T00:00:00+0000
164.25,164.55,162.03,163.64,18774056.0,164.55,162.03,163.64,164.25,18774056.0,1.0,0.0,GOOG,XNAS,2024-09-24T00:00:00+0000
165.34,166.61,162.95,163.07,15648446.0,166.61,162.95,163.07,165.34,15648446.0,1.0,0.0,GOOG,XNAS,2024-09-23T00:00:00+0000
164.52,164.75,163.18,164.64,46362673.0,164.75,163.18,164.64,164.52,46362673.0,1.0,0.0,GOOG,XNAS,2024-09-20T00:00:00+0000
164.82,164.99,162.5216,163.24,17548190.0,164.99,162.5216,163.24,164.82,17548190.0,1.0,0.0,GOOG,XNAS,2024-09-19T00:00:00+0000
160.85,161.63,159.66,160.81,16756450.0,161.63,159.66,160.81,160.85,16756450.0,1.0,0.0,GOOG,XNAS,2024-09-18T00:00:00+0000
160.09,161.59,159.41,160.28,12064790.0,161.59,159.41,160.28,160.09,12064790.0,1.0,0.0,GOOG,XNAS,2024-09-17T00:00:00+0000
158.33,159.24,157.61,158.99,14157610.0,159.24,157.61,158.99,158.33,14157614.0,1.0,0.0,GOOG,XNAS,2024-09-16T00:00:00+0000
156.362,159.275,156.11,158.37,16733908.0,159.275,156.11,158.37,156.362,16733908.0,1.0,0.0,GOOG,XNAS,2024-09-13T00:00:00+0000
154.81,155.61,153.5,155.54,21024062.0,155.61,153.5,155.54,154.81,21024062.0,1.0,0.0,GOOG,XNAS,2024-09-12T00:00:00+0000
151.09,152.48,148.7,152.15,18991486.0,152.48,148.7,152.15,151.09,18991486.0,1.0,0.0,GOOG,XNAS,2024-09-11T00:00:00+0000
151.45,152.3,149.5427,150.01,20401774.0,152.3,149.5427,150.01,151.45,20401774.0,1.0,0.0,GOOG,XNAS,2024-09-10T00:00:00+0000
153.63,154.64,148.2,149.54,28057746.0,154.64,148.2,149.54,153.63,28057746.0,1.0,0.2,GOOG,XNAS,2024-09-09T00:00:00+0000
158.69,159.22,151.935,152.13,24999062.0,159.22,151.935,151.93,158.69,24999062.0,1.0,0.0,GOOG,XNAS,2024-09-06T00:00:00+0000
157.78,161.015,157.52,158.6,14134431.0,161.015,157.52,158.6,157.78,14139501.0,1.0,0.0,GOOG,XNAS,2024-09-05T00:00:00+0000
158.075,160.4,157.44,157.81,17405595.0,160.4,157.44,157.81,158.075,15942997.0,1.0,0.0,GOOG,XNAS,2024-09-04T00:00:00+0000
163.315,163.38,157.855,158.61,26529643.0,163.38,157.855,158.61,163.315,26533110.0,1.0,0.0,GOOG,XNAS,2024-09-03T00:00:00+0000
164.22,165.28,163.41,165.11,18498777.0,165.28,163.41,165.11,164.22,18498777.0,1.0,0.0,GOOG,XNAS,2024-08-30T00:00:00+0000
