open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
428.38,428.47,418.825,420.69,18823041.0,428.48,418.81,420.69,428.45,19092945.0,1.0,0.0,MSFT,XNAS,2024-10-01T00:00:00+0000
428.21,430.42,425.37,430.3,16807300.0,430.42,425.37,430.3,428.21,16854606.0,1.0,0.0,MSFT,XNAS,2024-09-30T00:00:00+0000
431.52,431.85,427.47,428.02,14888600.0,431.85,427.47,428.02,431.52,14896131.0,1.0,0.0,MSFT,XNAS,2024-09-27T00:00:00+0000
435.09,435.3,429.13,431.31,14454500.0,435.3,429.13,431.31,435.085,14492044.0,1.0,0.0,MSFT,XNAS,2024-09-26T00:00:00+0000
429.83,433.12,428.57,432.11,13335000.0,433.119,428.57,432.11,429.83,13396364.0,1.0,0.0,MSFT,XNAS,2024-09-25T00:00:00+0000
433.0,433.35,426.1,429.17,16919500.0,433.35,426.1,429.17,433.0,17015754.0,1.0,0.0,MSFT,XNAS,2024-09-24T00:00:00+0000
434.28,436.46,430.39,433.51,15115900.0,436.46,430.3889,433.51,434.28,15128891.0,1.0,0.0,MSFT,XNAS,2024-09-23T00:00:00+0000
437.22,439.24,434.22,435.27,55155300.0,439.24,434.22,435.27,437.22,55167106.0,1.0,0.0,MSFT,XNAS,2024-09-20T00:00:00+0000
441.23,441.5,436.9,438.69,21674300.0,441.5,436.9,438.69,441.225,21706559.0,1.0,0.0,MSFT,XNAS,2024-09-19T00:00:00+0000
435.0,436.03,430.41,430.81,18856600.0,436.03,430.41,430.81,435.0,18898042.0,1.0,0.0,MSFT,XNAS,2024-09-18T00:00:00+0000
440.23,441.85,432.27,435.15,18858500.0,441.85,432.27,435.15,440.23,18874231.0,1.0,0.0,MSFT,XNAS,2024-09-17T00:00:00+0000
430.6,433.53,428.22,431.34,13768200.0,433.53,428.22,431.34,430.6,13834697.0,1.0,0.0,MSFT,XNAS,2024-09-16T00:00:00+0000
425.83,431.83,425.46,430.59,15861900.0,431.83,425.46,430.59,425.825,15874555.0,1.0,0.0,MSFT,XNAS,2024-09-13T00:00:00+0000
423.31,427.37,419.75,427.0,17395700.0,427.3692,419.75,427.0,423.31,17418759.0,1.0,0.0,MSFT,XNAS,2024-09-12T00:00:00+0000
415.5,423.99,409.58,423.04,19233600.0,423.99,409.58,423.04,415.5,19266923.0,1.0,0.0,MSFT,XNAS,2024-09-11T00:00:00+0000
