name,symbol,has_intraday,has_eod,country,stock_exchange.name,stock_exchange.acronym,stock_exchange.mic,stock_exchange.country,stock_exchange.country_code,stock_exchange.city,stock_exchange.website
Microsoft Corporation,MSFT,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Apple Inc,AAPL,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Amazon.com Inc,AMZN,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Alphabet Inc - Class C,GOOG,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Alphabet Inc - Class A,GOOGL,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Alibaba Group Holding Ltd,BABA,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Meta Platforms Inc - Class A,FB,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
BERKSHIRE HATHAWAY INC,BRK.B,False,False,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
BERKSHIRE HATHAWAY INC,BRK.A,False,False,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Vodafone Group plc,VOD,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Visa Inc - Class A,V,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
JPMorgan Chase & Company,JPM,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Johnson & Johnson,JNJ,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Walmart Inc,WMT,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Mastercard Incorporated - Class A,MA,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Procter & Gamble Company,PG,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Taiwan Semiconductor Manufacturing,TSM,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Chunghwa Telecom,CHT,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Roche Holding AG,RHHBF,False,True,,OTC Markets,,OTCM,USA,US,New York,www.otcmarkets.com
Roche Holding AG,RHHVF,False,True,,OTC Markets,,OTCM,USA,US,New York,www.otcmarkets.com
AT&T Inc,T,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Unitedhealth Group Inc,UNH,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Bank Of America Corp,BAC,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Home Depot Inc,HD,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Intel Corp,INTC,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Coca-Cola Company,KO,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Verizon Communications Inc,VZ,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Roche Holding AG,RHHBY,False,True,,OTC Markets,,OTCM,USA,US,New York,www.otcmarkets.com
Exxon Mobil Corp,XOM,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Walt Disney Co (The),DIS,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Merck & Co Inc,MRK,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Novartis AG,NVS,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Comcast Corp - Class A,CMCSA,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Pfizer Inc,PFE,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
PepsiCo Inc,PEP,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Toyota Motor Corporation,TM,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Chevron Corp,CVX,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Adobe Inc,ADBE,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Cisco Systems Inc,CSCO,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Wells Fargo & Company,WFC,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
NVIDIA Corp,NVDA,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
